,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to come,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was told by Casey to come.

Question: Who was told to come, Avery or Casey?
Answer: Avery
Question: Who told someone to come, Avery or Casey?
Answer: Casey
Question: Who came, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to come.\n\nQuestion: Who was told to come, Avery or Casey?\nAnswer: Avery\nQuestion: Who told someone to come, Avery or Casey?\nAnswer: Casey\nQuestion: Who came, Avery or Casey?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to come.\n\nQuestion: Who was told to come, Avery or Casey?\nAnswer: Avery\nQuestion: Who told someone to come, Avery or Casey?\nAnswer: Casey\nQuestion: Who came, Avery or Casey?\nAnswer:  Avery\nQuestion: Who was told to come, Avery or Casey?\nAnswer')"
1,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to come,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was told by Casey to come.

Question: Who was told to come, Avery or Casey?
Answer: Avery
Question: Who told someone to come, Avery or Casey?
Answer: Casey
Question: Who came, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to come.\n\nQuestion: Who was told to come, Avery or Casey?\nAnswer: Avery\nQuestion: Who told someone to come, Avery or Casey?\nAnswer: Casey\nQuestion: Who came, Avery or Casey?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to come.\n\nQuestion: Who was told to come, Avery or Casey?\nAnswer: Avery\nQuestion: Who told someone to come, Avery or Casey?\nAnswer: Casey\nQuestion: Who came, Avery or Casey?\nAnswer:  Avery\nQuestion: Who was told to come, Avery or Casey?\nAnswer')"
2,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to go,Avery,Casey,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was told by Casey to go.

Question: Who told someone to go, Avery or Casey?
Answer: Casey
Question: Who was told to go, Avery or Casey?
Answer: Avery
Question: Who went, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to go.\n\nQuestion: Who told someone to go, Avery or Casey?\nAnswer: Casey\nQuestion: Who was told to go, Avery or Casey?\nAnswer: Avery\nQuestion: Who went, Avery or Casey?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to go.\n\nQuestion: Who told someone to go, Avery or Casey?\nAnswer: Casey\nQuestion: Who was told to go, Avery or Casey?\nAnswer: Avery\nQuestion: Who went, Avery or Casey?\nAnswer:  Avery\nQuestion: Who was told to go, Avery or Casey?\nAnswer')"
3,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to go,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was told by Casey to go.

Question: Who was told to go, Avery or Casey?
Answer: Avery
Question: Who told someone to go, Avery or Casey?
Answer: Casey
Question: Who went, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to go.\n\nQuestion: Who was told to go, Avery or Casey?\nAnswer: Avery\nQuestion: Who told someone to go, Avery or Casey?\nAnswer: Casey\nQuestion: Who went, Avery or Casey?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to go.\n\nQuestion: Who was told to go, Avery or Casey?\nAnswer: Avery\nQuestion: Who told someone to go, Avery or Casey?\nAnswer: Casey\nQuestion: Who went, Avery or Casey?\nAnswer:  Avery\nQuestion: Who was told to go, Avery or Casey?\nAnswer')"
4,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to read,Avery,Casey,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery was told by Casey to read.

Question: Who told someone to read, Casey or Avery?
Answer: Casey
Question: Who was told to read, Casey or Avery?
Answer: Avery
Question: Who read, Casey or Avery?
Answer: ","('You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery was told by Casey to read.\n\nQuestion: Who told someone to read, Casey or Avery?\nAnswer: Casey\nQuestion: Who was told to read, Casey or Avery?\nAnswer: Avery\nQuestion: Who read, Casey or Avery?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery was told by Casey to read.\n\nQuestion: Who told someone to read, Casey or Avery?\nAnswer: Casey\nQuestion: Who was told to read, Casey or Avery?\nAnswer: Avery\nQuestion: Who read, Casey or Avery?\nAnswer: \n\nA:\n\nThe answer is:\n\nCasey\n\n')"
5,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to read,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was told by Casey to read.

Question: Who was told to read, Avery or Casey?
Answer: Avery
Question: Who told someone to read, Avery or Casey?
Answer: Casey
Question: Who read, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to read.\n\nQuestion: Who was told to read, Avery or Casey?\nAnswer: Avery\nQuestion: Who told someone to read, Avery or Casey?\nAnswer: Casey\nQuestion: Who read, Avery or Casey?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to read.\n\nQuestion: Who was told to read, Avery or Casey?\nAnswer: Avery\nQuestion: Who told someone to read, Avery or Casey?\nAnswer: Casey\nQuestion: Who read, Avery or Casey?\nAnswer:  Avery\nQuestion: Who read, Avery or Casey?\nAnswer:  Avery')"
6,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to run,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery was told by Casey to run.

Question: Who was told to run, Casey or Avery?
Answer: Avery
Question: Who told someone to run, Casey or Avery?
Answer: Casey
Question: Who ran, Casey or Avery?
Answer: ","('You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery was told by Casey to run.\n\nQuestion: Who was told to run, Casey or Avery?\nAnswer: Avery\nQuestion: Who told someone to run, Casey or Avery?\nAnswer: Casey\nQuestion: Who ran, Casey or Avery?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery was told by Casey to run.\n\nQuestion: Who was told to run, Casey or Avery?\nAnswer: Avery\nQuestion: Who told someone to run, Casey or Avery?\nAnswer: Casey\nQuestion: Who ran, Casey or Avery?\nAnswer:  Avery\nQuestion: Who told someone to run, Casey or Avery?\nAnswer')"
7,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to run,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was told by Casey to run.

Question: Who was told to run, Avery or Casey?
Answer: Avery
Question: Who told someone to run, Avery or Casey?
Answer: Casey
Question: Who ran, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to run.\n\nQuestion: Who was told to run, Avery or Casey?\nAnswer: Avery\nQuestion: Who told someone to run, Avery or Casey?\nAnswer: Casey\nQuestion: Who ran, Avery or Casey?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to run.\n\nQuestion: Who was told to run, Avery or Casey?\nAnswer: Avery\nQuestion: Who told someone to run, Avery or Casey?\nAnswer: Casey\nQuestion: Who ran, Avery or Casey?\nAnswer:  Avery\nQuestion: Who was told to run, Avery or Casey?\nAnswer')"
8,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to call,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery was told by Casey to call.

Question: Who was told to call, Casey or Avery?
Answer: Avery
Question: Who told someone to call, Casey or Avery?
Answer: Casey
Question: Who called, Casey or Avery?
Answer: ","('You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery was told by Casey to call.\n\nQuestion: Who was told to call, Casey or Avery?\nAnswer: Avery\nQuestion: Who told someone to call, Casey or Avery?\nAnswer: Casey\nQuestion: Who called, Casey or Avery?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery was told by Casey to call.\n\nQuestion: Who was told to call, Casey or Avery?\nAnswer: Avery\nQuestion: Who told someone to call, Casey or Avery?\nAnswer: Casey\nQuestion: Who called, Casey or Avery?\nAnswer:  Avery\nQuestion: Who called, Casey or Avery?\nAnswer:  Avery')"
9,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to call,Avery,Casey,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was told by Casey to call.

Question: Who told someone to call, Avery or Casey?
Answer: Casey
Question: Who was told to call, Avery or Casey?
Answer: Avery
Question: Who called, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to call.\n\nQuestion: Who told someone to call, Avery or Casey?\nAnswer: Casey\nQuestion: Who was told to call, Avery or Casey?\nAnswer: Avery\nQuestion: Who called, Avery or Casey?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to call.\n\nQuestion: Who told someone to call, Avery or Casey?\nAnswer: Casey\nQuestion: Who was told to call, Avery or Casey?\nAnswer: Avery\nQuestion: Who called, Avery or Casey?\nAnswer: \n\nA:\n\nThe answer is:\n\nCasey\n\n')"
10,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,ordered,to come,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery was ordered by Casey to come.

Question: Who was ordered to come, Casey or Avery?
Answer: Avery
Question: Who ordered someone to come, Casey or Avery?
Answer: Casey
Question: Who came, Casey or Avery?
Answer: ","('You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery was ordered by Casey to come.\n\nQuestion: Who was ordered to come, Casey or Avery?\nAnswer: Avery\nQuestion: Who ordered someone to come, Casey or Avery?\nAnswer: Casey\nQuestion: Who came, Casey or Avery?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery was ordered by Casey to come.\n\nQuestion: Who was ordered to come, Casey or Avery?\nAnswer: Avery\nQuestion: Who ordered someone to come, Casey or Avery?\nAnswer: Casey\nQuestion: Who came, Casey or Avery?\nAnswer:  Avery\nQuestion: Who came, Casey or Avery?\nAnswer:  Avery')"
11,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,ordered,to come,Avery,Casey,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was ordered by Casey to come.

Question: Who ordered someone to come, Avery or Casey?
Answer: Casey
Question: Who was ordered to come, Avery or Casey?
Answer: Avery
Question: Who came, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was ordered by Casey to come.\n\nQuestion: Who ordered someone to come, Avery or Casey?\nAnswer: Casey\nQuestion: Who was ordered to come, Avery or Casey?\nAnswer: Avery\nQuestion: Who came, Avery or Casey?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was ordered by Casey to come.\n\nQuestion: Who ordered someone to come, Avery or Casey?\nAnswer: Casey\nQuestion: Who was ordered to come, Avery or Casey?\nAnswer: Avery\nQuestion: Who came, Avery or Casey?\nAnswer:  Avery\nQuestion: Who came, Avery or Casey?\nAnswer:  Avery')"
