,model,exp_type,prompt,pred,true,response
0,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: """" ... there is no companion quite so devoted , so communicative , so loving and so mesmerizing as a rat . """"
Question: In the event ""is"", does the participant ""companion"" act with volition?
Answer: ",Yes,No,"Yes . 
 The  sentence  is  about  a  rat .  The  rat  is  a  companion .  The  rat  is"
1,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""He showed me the car I was interested in and we took a test drive .""
Question: In the event ""showed"", does the participant ""car"" act with volition?
Answer: ",Yes,No,"Yes . 
 Now ,  let 's  look  at  the  same  sentence  with  the  word  "" sh owed """
2,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""I knew a cat that died in its sleep aged 21 .""
Question: In the event ""knew"", does the participant ""cat"" act with volition?
Answer: ",Yes,No,"Yes . 
 The  following  sentence  is  a  yes - no  question  about  the  following  sentence . 
 Sent"
3,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""i handle him every few days .""
Question: In the event ""handle"", does the participant ""i"" act with volition?
Answer: ",Yes,Yes,"Yes . 
 The  next  question  is  about  the  following  sentence . 
 Sent ence :  "" i  handle"
4,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""The information contained herein is based on sources that we believe to be reliable , but we do not represent that it is accurate or complete .""
Question: In the event ""based"", does the participant ""information"" act with volition?
Answer: ",No,No,"No . 
 Question :  In  the  event  "" based "",  does  the  participant  "" information ""  act  with"
5,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""I wanted you all to have a look at what we believe is the final draft .""
Question: In the event ""believe"", does the participant ""we"" act with volition?
Answer: ",Yes,Yes,"Yes . 
 Question :  In  the  event  "" bel ieve "",  does  the  participant  "" we ""  act"
6,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""Debbie said , it is going to be hard on me to sale my old dodge truck .""
Question: In the event ""sale"", does the participant ""truck"" act with volition?
Answer: ",Yes,No,"Yes . 
 Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  """
7,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""Imperial Hubris makes the case that lots of people in the CIA and counter-terrorism divisions elsewhere in the US government knew all about Bin Laden and the threat he posed .""
Question: In the event ""posed"", does the participant ""he"" act with volition?
Answer: ",Yes,Yes,"Yes . 
 Now ,  let 's  try  a  question  about  a  sentence  that  has  a  passive  verb ."
8,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""I have a concern that the Enron optionality bug could bite us on the backside with that one .""
Question: In the event ""bite"", does the participant ""us"" act with volition?
Answer: ",Yes,No,"Yes . 
 Question :  In  the  event  "" bite "",  does  the  participant  "" us ""  act  with"
9,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""Just remember to make sure the mother is properly caring for the baby .""
Question: In the event ""caring"", does the participant ""mother"" act with volition?
Answer: ",Yes,Yes,"Yes . 
 Question :  In  the  event  "" c aring "",  does  the  participant  "" baby ""  act"
10,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""They told me to bring it back after 5000 miles .""
Question: In the event ""told"", does the participant ""They"" act with volition?
Answer: ",Yes,Yes,"Yes . 
 Now ,  answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence"
11,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""The plain fact is that a few members of IT are pushing this initiative , but they lack commercial sponsorship .""
Question: In the event ""pushing"", does the participant ""members"" act with volition?
Answer: ",Yes,Yes,"Yes . 
 Question :  In  the  event  "" p ushing "",  does  the  participant  "" members ""  act"
